indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
1316,"Older Women (50+) present in Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,number,OLDER WOMEN,F2NE4,,number,numeric,2,monthly,and$eq(data.F2Q7:35),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1317,"Older Women (50+) present in Community Engagement Meetings conducted with theme ""dietary diversity""",,number,OLDER WOMEN,F2NE4,,number,numeric,2,monthly,and$eq(data.F2Q7:36),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1318,"Older Women (50+) present in Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,number,OLDER WOMEN,F2NE4,,number,numeric,2,monthly,and$eq(data.F2Q7:37),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1319,"Older Women (50+) present in Community Engagement Meetings conducted with theme ""WASH""",,number,OLDER WOMEN,F2NE4,,number,numeric,2,monthly,and$eq(data.F2Q7:38),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1320," Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  older women (50+)",,number,OLDER WOMEN,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,29,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1321,"Percentage of  Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  older women (50+)",,percent,older women,1320,117,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1322," Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,30,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1323,"Percentage of  Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  older women (50+)",,percent,older women,1322,118,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1324," Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,31,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1325,"Percentage of  Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  older women (50+)",,percent,older women,1324,119,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1326," Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,32,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1327,"Percentage of  Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""  with  older women (50+)",,percent,older women,1326,120,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1328," Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,33,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1329,"Percentage of  Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  older women (50+)",,percent,older women,1328,121,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1330," Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,34,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1331,"Percentage of  Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  older women (50+)",,percent,older women,1330,122,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1332," Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,35,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1333,"Percentage of  Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  older women (50+)",,percent,older women,1332,123,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1334," Community Engagement Meetings conducted with theme ""dietary diversity""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,36,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1335,"Percentage of  Community Engagement Meetings conducted with theme ""dietary diversity""  with  older women (50+)",,percent,older women,1334,124,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1336," Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,37,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1337,"Percentage of  Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  older women (50+)",,percent,older women,1336,125,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1338," Community Engagement Meetings conducted with theme ""WASH""  with  older women (50+)",,number,older women,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:41),TRUE,38,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1339,"Percentage of  Community Engagement Meetings conducted with theme ""WASH""  with  older women (50+)",,percent,older women,1338,126,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1340,Men present in Community Engagement Meetings,,number,Men,F2NE5,,number,numeric,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1341,"Men present in Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:29),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1342,"Men present in Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""",,number,men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:30),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1343,"Men present in Community Engagement Meetings conducted with theme ""Effects due to anaemia""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:31),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1344,"Men present in Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:32),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1345,"Men present in Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:33),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1346,"Men present in Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:34),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1347,"Men present in Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:35),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1348,"Men present in Community Engagement Meetings conducted with theme ""dietary diversity""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:36),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1349,"Men present in Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:37),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1350,"Men present in Community Engagement Meetings conducted with theme ""WASH""",,number,Men,F2NE5,,number,numeric,2,monthly,and$eq(data.F2Q7:38),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1351," Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,29,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1352,"Percentage of  Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  men",,percent,Men,1351,117,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1353," Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,30,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1354,"Percentage of  Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  men",,percent,Men,1353,118,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1355," Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,31,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1356,"Percentage of  Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  men",,percent,Men,1355,119,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1357," Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""  with  men",,number,Men,F2Q7,,number,dropdown,2,monthly,and$eq(data.F2NE1:42),TRUE,32,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1358,"Percentage of  Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""  with  men",,percent,Men,1357,120,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1359," Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,33,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1360,"Percentage of  Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  men",,percent,Men,1359,121,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1361," Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,34,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1362,"Percentage of  Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  men",,percent,Men,1361,122,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1363," Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,35,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1364,"Percentage of  Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  men",,percent,Men,1363,123,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1365," Community Engagement Meetings conducted with theme ""dietary diversity""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,36,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1366,"Percentage of  Community Engagement Meetings conducted with theme ""dietary diversity""  with  men",,percent,Men,1365,124,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1367," Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,37,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1368,"Percentage of  Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  men",,percent,Men,1367,125,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1369," Community Engagement Meetings conducted with theme ""WASH""  with  men",,number,Men,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:42),TRUE,38,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1370,"Percentage of  Community Engagement Meetings conducted with theme ""WASH""  with  men",,percent,Men,1369,126,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1371,Village officials or policy makers present  in Community Engagement Meetings,,number,Policy Maker,F2NE6,,number,numeric,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1372,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""",,number,Village Officials,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:29),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1373,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""",,number,Village offcials,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:30),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1375,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Effects due to anaemia""",,number,Village official,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:31),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1377,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""",,number,Village offcicial,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:32),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1378,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""",,number,Village officials,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:33),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1379,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""",,number,Village Official,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:34),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1380,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,number,Village officials,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:35),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1381,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""dietary diversity""",,number,Village official,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:36),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1382,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,number,Village Official,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:37),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1383,"Village officials or policy makers present  in Community Engagement Meetings conducted with theme ""WASH""",,number,Village Officials,F2NE6,,number,numeric,2,monthly,and$eq(data.F2Q7:38),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1384,Community engagement meetings conducted  with  village officials,,number,Village officlal,F2NE1,,count,form,2,monthly,total,TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1385,Percentage of Community engagement meetings conducted  with  village officials,,percent,Village official,1384,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1386," Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  village officials",,number,Village official,F2NE1,,count,form,2,monthly,and$eq(data.F2Q7:29),TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1387,"Percentage of  Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  village officials",,percent,Village Official,1386,117,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1388,"Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  village officials",,number,Village officials,F2NE1,,count,form,2,monthly,and$eq(data.F2Q7:30),TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1389,"Percentage of  Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""  with  village officials",,percent,Village Officials,1388,118,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1390," Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  village officials",,number,Village officials,F2NE1,,count,form,2,monthly,and$eq(data.F2Q7:31),TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1391,"Percentage of  Community Engagement Meetings conducted with theme ""Effects due to anaemia""  with  village officials",,percent,Village official,1390,119,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1392," Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  village officials",,number,Village officials,F2NE1,,count,form,2,monthly,and$eq(data.F2Q7:33),TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1393,"Percentage of  Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""  with  village officials",,percent,Village officlals,1392,121,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1394," Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  village officials",,number,Village Officials,F2NE1,,count,form,2,monthly,and$eq(data.F2Q7:34),TRUE,43,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1395,"Percentage of  Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""  with  village officials",,percent,Village Officials,1394,122,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1415," Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  village officials",,number,Village Officials,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:43),TRUE,35,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1416,"Percentage of  Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""  with  village officials",,percent,Village Offcials,1415,123,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1418," Community Engagement Meetings conducted with theme ""dietary diversity""  with  village officials",,number,Village officials,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:43),TRUE,36,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1422,"Percentage of  Community Engagement Meetings conducted with theme ""dietary diversity""  with  village officials",,percent,Village Officials,1418,124,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1425," Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  village officials",,number,Village Officials,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:43),TRUE,37,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1426,"Percentage of  Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""  with  village officials",,percent,Village offcial,1425,125,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1427," Community Engagement Meetings conducted with theme ""WASH""  with  village officials",,number,Village officials,F2Q7,,count,form,2,monthly,and$eq(data.F2NE1:43),TRUE,38,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1428,"Percentage of  Community Engagement Meetings conducted with theme ""WASH""  with  village officials",,percent,Village offcials,1427,126,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1429,Front line health workers  present  in Community Engagement Meetings,,number,Front Line Workers,F2NEE7,,number,numeric,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1430,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""",,number,Health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:29),TRUE,29,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1431,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""",,number,Front line health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:30),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1432,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Effects due to anaemia""",,number,Frontline workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:31),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1434,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""",,number,Frontline Health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:32),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1435,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""",,number,Frontline Health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:33),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1437,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""",,number,Frontline Health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:34),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1438,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,number,Frontline Health Workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:35),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1439,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""dietary diversity""",,number,Frontline Health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:36),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1440,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,number,Frontline health workers,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:37),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1441,"Front line health workers  present  in Community Engagement Meetings conducted with theme ""WASH""",,number,Frontline Health,F2NEE7,,number,numeric,2,monthly,and$eq(data.F2Q7:38),TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1442,Community engagement meetings conducted  with  front line health workers,,number,Frontline Health workers,F2NE1,,count,form,2,monthly,total,TRUE,44,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1443,Percentage of Community engagement meetings conducted  with  front line health workers,,percent,Frontline Health workers,1442,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
1444," Community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""  with  front line health workers",,number,Frontline Health workers,F2Q7,,count,form,2,monthly,total,TRUE,29,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
